word,meaning,short definition,long definition,url
delude,be dishonest with,"To delude is to trick or fool, often in relation to yourself. If you delude yourself into thinking your mom's chocolate cake is low in fat, you'll be disappointed to find out it's made with two sticks of butter!","If you delude someone into thinking something, you are making a fool of them, or making them foolish. The word shares a root with ludicrous which means completely ridiculous. The thing that you foolishly believe is a delusion. Someone with delusions of grandeur has deluded themselves into thinking they are very, very special.",https://www.vocabulary.com/dictionary/delude
deluge,"fill or cover completely, usually with water","Feeling overwhelmed, like you're underwater? You might be experiencing a deluge — like when you've been given a deluge of homework over vacation: a dozen term papers, two dozen books to read, and a mile-high stack of math problems.","The noun deluge is an overwhelming amount of something in general, such as work, people, or questions. Because of its Latin roots, however, in particular it means an overwhelming amount of water. It comes from diluvian, which means flood. The verb deluge similarly means to overwhelm or inundate with something, particularly water. The hurricane deluged the island with rain. A deluge isn't always a bad thing, however. One thing most people would like to be deluged with? Money.",https://www.vocabulary.com/dictionary/deluge
demagogue,a leader who seeks support by appealing to popular passions,A demagogue is someone who becomes a leader largely because of skills as a speaker or who appeals to emotions and prejudices.,"Though the Greek root for demagogue literally means ""a leader of the people,"" the word has for centuries had a negative connotation: it actually means a leader who has manipulated the emotions and prejudices of the rabble. The reason for the negative connotation is that in ancient Athens, ""the people"" were considered to be an uncivilized mob. Two of the most famous historical demagogues are said to be Adolf Hitler and Josef Stalin.",https://www.vocabulary.com/dictionary/demagogue
denizen,a person who inhabits a particular place,"A denizen is an inhabitant or frequenter of a particular place: a citizen of a country, a resident in a neighborhood, a maven of a museum, a regular at a bar, or, even, a plant that is naturalized in a region.","The noun denizen comes from words that mean “from” and “within” and is related to “citizen.” Denizen can be used when talking about any person or group of people that have a specific relationship with a place. It was historically used to refer to foreigners who were either naturalized or becoming citizens but now it is used much more generally, as in: ""The denizens of my aunt’s neighborhood all have contracts with the same gardener.""",https://www.vocabulary.com/dictionary/denizen
depravity,a corrupt or degenerate act or practice,"Depravity goes beyond mere bad behavior — it is a total lack of morals, values, and even regard for other living things, like the depravity of a serial killer.","You can see the verb deprave in depravity. To deprave is to make something bad, often to the point of moral corruption, like the parental fear that a bad influence will deprave their good kids. So, depravity is behavior that is morally corrupt or otherwise deemed wicked. Don't confuse depravity with deprivation, meaning ""being denied something that is necessary.""",https://www.vocabulary.com/dictionary/depravity
deprecate,express strong disapproval of; deplore,"To deprecate is to show disapproval or to make someone feel unimportant by speaking to them disrespectfully, like seniors who deprecate younger students just for fun.","To deprecate is to diminish, or to oppose, like when someone deprecates your dream of climbing Mt. Everest by calling it ""a little walk up a hill."" Some people deprecate themselves, which is called being self-deprecating. People who are self-deprecating downplay their abilities because they are humble — or want to appear that way. So if you do climb Everest and you are self-deprecating, you'll say it wasn't such a big deal, even if it was the proudest moment of your life.",https://www.vocabulary.com/dictionary/deprecate
deride,treat or speak of with contempt,The verb deride means to speak to someone with contempt or show a low opinion of someone or something. A bully might constantly deride other kids in his class — which might lead to many afternoons spent in the principal's office.,"To ""ride"" people is to get on their case or give them a hard time, and to deride is to do the same with insulting language or poor treatment. Deride comes from the Latin root dērīdēre, meaning ""to ridicule, to scorn,"" and it's often used to express dislike or even hatred. Criticizing something with words is a common way to deride, and politicians often deride each other in their speeches during election campaigns.",https://www.vocabulary.com/dictionary/deride
derogatory,expressive of low opinion,"Something that's derogatory is insulting or disrespectful. If you make derogatory comments, that means you say things that are unflattering, unkind, or demeaning.","Derogatory means about the same as insulting. Derogatory language is meant to hurt, and it usually does. If you feel offended or insulted by what someone says, the person probably said something derogatory. Racial, sexist, and homophobic slurs are all derogatory. Insults that mean someone is stupid or crazy are derogatory. Making a joke about someone's mother is derogatory.",https://www.vocabulary.com/dictionary/derogatory
desiccate,lose water or moisture,"The verb desiccate means to dry out, dry up and dehydrate. It's helpful to desiccate weeds but certainly not crops.","As anyone who's been stuck in the desert will tell you, being desiccated by the burning sun isn't much fun. Stemming from the Latin word desiccare, which means to ""dry up,"" desiccate also means to preserve something by drying it out. Without desiccation, raisins or beef jerky would not be possible!",https://www.vocabulary.com/dictionary/desiccate
despondent,without or almost without hope,"If you are despondent, you are discouraged, very sad, and without hope. If you are depressed, you might describe your mood as despondent.","This adjective is often followed by over or about: ""He was despondent over the loss of his job."" If you want a noun, use the words despondency or despondence. The adjective despondent is from Latin despondere, ""to lose courage, give up,"" from the prefix de- (""from"") plus spondere (""to promise""). The Latin words originally referred to promising a woman in marriage.",https://www.vocabulary.com/dictionary/despondent
despot,a cruel and oppressive dictator,"A despot, is a cruel, all-controlling ruler. For example, a despot does not allow people to speak out against the leadership, nor really want them to have much freedom at all.","The word despot came into English in the sixteenth century from Old French, but it traces all the way back to the Greek word despotes, meaning ""master of a household, lord, absolute ruler."" The word is often used to describe someone who abuses power and oppresses others. Obviously, it's not a nice thing to call someone, especially within earshot of the despot who has absolute power over you.",https://www.vocabulary.com/dictionary/despot
destitute,poor enough to need help from others,"When you think of the word destitute, which means poor or lacking other necessities of life, think of someone who is in desperate straits. A very, very tight budget is poor. Living on the streets is destitute.","Destitute essentially means not having something. When you're destitute in the sense of being poor, you're technically ""destitute of money."" You can be destitute of other things as well. If all your friends have abandoned you, you're ""destitute of friends."" If you are applying for a job as a waitress but have never worked in a restaurant in any capacity, you're ""destitute of experience.""",https://www.vocabulary.com/dictionary/destitute
desultory,"marked by lack of definite plan, purpose, or enthusiasm","If you lack a definite plan or purpose and flit from one thing to another, your actions are desultory. Some people call such desultory wanderings spontaneous. Others call it ""being lost.""","The adjective desultory comes from the word desultor, which was a circus rider who would leap from the back of one galloping horse onto another. From this literal sense of jumping from one thing to another, we get the modern meaning of desultory as jumping between things without a logical purpose.",https://www.vocabulary.com/dictionary/desultory
dexterous,skillful in physical movements; especially of the hands,"If you're dexterous, you're good with your hands. To be dexterous is an essential trait for knitters and sleight-of-hand magicians.","The adjective dexterous often refers to skill and agility with the hands, but it can mean any skillful or clever physical movement. A kid's dexterous ball handling and footwork can aid him on the soccer field. Dexterous can also be used to describe mental skill and agility — like the dexterous handling of an uncomfortable situation at work.",https://www.vocabulary.com/dictionary/dexterous
dialectical,relating to reasoning by the exchange of logical arguments,"Dialectical describes how someone goes about finding the truth. If you're an investigative journalist, you probably use dialectical reasoning.","You might think dialectical refers to how people speak in a certain region or in a specific group, such as a regional accent. That version of dialect comes from the Greek word dialektos, meaning ""discourse, way of speaking."" But dialectical instead comes from the French word dialecte, meaning ""denoting the art of investigating the truth of opinions."" It has to do with a method of reasoning used to determine the truth.",https://www.vocabulary.com/dictionary/dialectical
dictum,an authoritative declaration,"""You are what you eat"" is a dictum, and so is a law requiring you to curb your dog. A dictum is a formal pronouncement, a rule, or a statement that expresses a truth universally acknowledged.","Dictum dates from the 16th Century. It descended from a Latin word that means ""something said."" In contemporary use, it means more like ""something that is officially said."" If the principal of your school issues a dictum declaring ""no jeans in school,"" it's time to go shopping.",https://www.vocabulary.com/dictionary/dictum
didactic,"instructive, especially excessively","When people are didactic, they're teaching or instructing. This word is often used negatively for when someone is acting too much like a teacher.","When you're didactic, you're trying to teach something. Just about everything teachers do is didactic: the same is true of coaches and mentors. Didactic is often used in a negative way. If you heard that a movie is overly didactic, that's probably not good. Most people want to see a story and be entertained when going to the movies, and if it feels like the movie is just telling you what to think, that's didactic in a bad way.",https://www.vocabulary.com/dictionary/didactic
diffident,lacking self-confidence,"The adjective diffident describes someone who is shy and lacking in self-confidence. If you are shy and have a diffident manner, you should probably not choose one of these professions: substitute teacher, stand-up comic, or lion-tamer.","Diffident can describe someone who is reserved and restrained. Some may mistake your diffident manner for coolness or aloofness. Although it may be in your nature to be diffident, you will find it impossible to remain so when you visit my family. They are a big, noisy, outgoing bunch and they will make you join in the fun until you let loose and open up. Don't say you weren't warned!",https://www.vocabulary.com/dictionary/diffident
digress,wander from a direct or straight course,"If we're talking about science fiction, and you suddenly go off on a long tangent about the cost of grape soda, you digress. When a person digresses, they stray from the topic.","It's easy to understand why you digressed from the main topic. You were incredibly excited, speeding on caffeine, and, let's face it, you've never been at a loss for words. Don't get me wrong: I love your wanderings — how you drift from one topic to the next, letting your mind explore. The problem was that the meeting was running late and there was no time to let you digress. I had to pull you back to the main topic. I didn't want our potential new partners to get the idea that these digressions were typical.",https://www.vocabulary.com/dictionary/digress
dilettante,an amateur engaging in an activity without serious intention,"Though dilettante might sound like a nice French word, don't use it on your friend who thinks he can play the guitar after several short lessons. A dilettante is an amateur, often one who pretends to be very knowledgeable.","The meaning of dilettante has changed since it was borrowed from the Italian in the mid 1700s. Originally, it meant ""lover of the arts,"" but began to take on a negative slant as the idea of doing something as a professional took hold strongly during the 18th century. A dilettante was a mere lover of art as opposed to one who did it professionally. Today, the word implies you're pretending to be more of an artist than you're interested in or capable of being, so if you call your friend who likes to paint a dilettante, it's like you're calling him or her a poser.",https://www.vocabulary.com/dictionary/dilettante
discern,detect with the senses,"If you can make out, pick out, or distinguish something, you can discern it. This is a word for recognizing and perceiving things.","Discerning has to do with being able to see or hear something. In a loud room, it can be hard to discern one person's voice. If there's not much light, you'll have trouble discerning the words on a page well enough to read. If you have sloppy handwriting, then it's hard to discern what you wrote. When you can discern something, you can tell what it is; you can identify it.",https://www.vocabulary.com/dictionary/discern
discreet,marked by prudence or modesty and wise self-restraint,"Discreet describes someone or something that is appropriately quiet, prudent, and restrained. If you are wearing a discreet gray suit, it is unlikely that anyone at that business meeting will notice you.","Often people use discreet not only to indicate modesty or carefulness, but also to show a sort of secretiveness along the lines of “You're going to keep this a secret, right?” If no one in your family knows that you like to dress up as a bear, but then your cousin finds out, you may ask him to please be discreet.",https://www.vocabulary.com/dictionary/discreet
discrete,constituting a separate entity or part,"Discrete means separate or divided. A discrete unit is a separate part of something larger. A room is a discrete space within a house, just as the crankshaft is a discrete part of a car engine.","If something is discrete, it has its own space. An ice cube comes from an ice tray, but it has its own discrete compartment. A student government might have discrete committees for different projects. Don't confuse discrete with its close cousin discreet, which means “appropriately private.” Billionaire Bruce Wayne, for example, is very discreet about his secret life as Batman. You could say Batman is a discrete, or separate, part of Bruce Wayne’s identity. Anything distinct and separated is discrete.",https://www.vocabulary.com/dictionary/discrete
discriminate,marked by the ability to see or make fine distinctions,"When you discriminate between two things, you can tell the difference between them and can tell them apart.","The ability to discriminate between similar objects is important. For example, if you want to be a good root farmer, it helps if you can discriminate between a turnip and a parsnip. However, some people take it too far and discriminate against other people, treating them differently based on their physical characteristics or abilities. To be able to discriminate between a turnip and a radish is good, but to discriminate against people is not.",https://www.vocabulary.com/dictionary/discriminate
disdain,lack of respect accompanied by a feeling of intense dislike,"If you feel that something isn't worthy of your consideration, you may disdain it (or treat it with disdain).","In Old French, deignier meant ""to treat something as worthy."" To disdain something, then, is to treat it with contempt: ""Management at [the company] displayed a certain disdain for safety and appeared to regard safety-conscious workers as wimps in the organization."" As a verb, disdain carries an air of self-righteousness not associated with similar words like despise, abhor, detest, loathe and scorn. So if you disdain something, you might reject it with a haughty scoff, ""Ha!""",https://www.vocabulary.com/dictionary/disdain
disinterested,unaffected by concern for one's own welfare,"If you can't decide whether to purchase the shirt with orange polka dots or the purple paisley-patterned one, you might seek input from a disinterested, or unbiased, party (who will probably tell you not to buy either one).","Depending on whom you ask, disinterested is either one of the most commonly misused words in the English language, or a perfect example of usage experts and English teachers being way too uptight. While everyone agrees that disinterested can mean “unbiased,” the debate rages on as to whether it can also mean “uninterested” or “indifferent.” Sticklers are vehemently opposed to this secondary meaning. (Of course, you’ll also find the disinterested — or uninterested? — folks who couldn’t care less.)",https://www.vocabulary.com/dictionary/disinterested
disparage,express a negative opinion of,"If you haven't got anything nice to say, then it's time to disparage someone. It means to belittle or degrade a person or idea.","Disparage is a specific way to describe a certain kind of insult, the kind that secures the insulter's place as superior. It often refers to an opinion or criticism lobbed in print or via word of mouth, not necessarily an act done to someone's face. If someone or something is being disparaged, you will often find a competing interest in the wings.",https://www.vocabulary.com/dictionary/disparage
disparate,fundamentally different or distinct in quality or kind,"The trunk of some people's cars may contain items as disparate as old clothes, rotting food, and possibly a missing relative. Disparate things are very different from each other.","Near synonyms are unequal and dissimilar. The adjective disparate is from Latin disparātus, from disparāre ""to separate, divide,"" from the prefix dis- ""apart"" plus parāre ""to prepare."" Disparate in the sense of ""very different"" probably developed by association with the Latin adjective dispar ""unequal, different.""",https://www.vocabulary.com/dictionary/disparate
disseminate,cause to become widely known,"Disseminate means to spread information, knowledge, opinions widely. Semin- derives from the Latin word for seed; the idea with disseminate is that information travels like seeds sown by a farmer.","Think about a teacher distributing a hand out at the beginning of a class. The dis- of disseminate and distribute come from the same Latin prefix which means ""apart, in a different direction."" But unlike papers distributed in class, information, once spread around in all directions, cannot be pulled back in. Think about false rumors or political smear campaigns and you'll understand that dissemination is usually a one-way process.",https://www.vocabulary.com/dictionary/disseminate
dissipate,cause to separate and go in different directions,To dissipate is to disperse or fade away — as a bad smell will dissipate (usually) if you wait long enough.,"Dissipate can also mean “spend or use wastefully.” If you win the lottery, you might suddenly find yourself with a group of new friends encouraging you to dissipate your money (on them). Note that dissipate can be used with or without an object: ""Once you dissipate your wealth, your new group of friends will dissipate without a trace.""",https://www.vocabulary.com/dictionary/dissipate
dissolution,separation into component parts,The dissolution of a relationship means that it's broken up or ended. The dissolution of your band means you better get started on your solo album.,"Dissolution comes from the Latin word dissolutio, meaning ""a dissolving of something."" Dissolution looks very similar to ""dissolve,"" so to help you remember the meaning, think about what happens if you put paper in water — it breaks apart. A dissolution of a marriage is the same thing as divorce. Although it sounds like disillusion, if you try to use them interchangeably, your logic will fall apart.",https://www.vocabulary.com/dictionary/dissolution
distend,cause to expand as if by internal pressure,"A soda and pizza binge might make your stomach distend, meaning your stomach will swell as a result of pressure from the inside.","If you’ve ever eaten too much food it won’t surprise you to learn that the verb distend traces back to the Latin words dis-, meaning “apart,” and tendere, meaning “to stretch.” Your stomach will certainly feel stretched out if you do something — like overeat — that causes it to distend. The word distend often applies to stomachs — a pregnancy would also cause a stomach to distend — but it can also refer to anything that is stretched out as a result of internal pressure.",https://www.vocabulary.com/dictionary/distend
distinguish,mark as different,"To distinguish means to tell apart. If you win the lottery, you’re going to need to learn to distinguish between people who really like you and people who like your money.","To distinguish is to discern, which means to perceive or recognize the way something differs from what’s around it. It takes discerning taste buds to distinguish between Coke and Pepsi. Distinguish also means to separate yourself out from the pack, usually in a good way. You might distinguish yourself at a Comics Convention with your encyclopedic knowledge of Krazy Kat.",https://www.vocabulary.com/dictionary/distinguish
docile,easily handled or managed,"If someone is docile, he is easily taught or handled. If you suddenly became a trouble-maker in class, your teachers would long for the days when you were sweet and docile.","Docile comes from Latin root for teaching, docere, so someone docile is easy to teach. A docile student is willing to be taught. A docile animal is easy to handle. If you behave well and do what people tell you to do, you're a docile person. Docile might be a word of praise, but it can also be a criticism of someone for being overly submissive. Some synonyms are amenable and compliant.",https://www.vocabulary.com/dictionary/docile
doctrinaire,a stubborn person of arbitrary or arrogant opinions,You've doubtless met someone doctrinaire at some point. You know them by their complete unwillingness to accept any belief other than their own.,"If you're familiar with the noun ""doctrine"" — a formal idea or system of belief — you'll have no problem with the adjective doctrinaire. It's a just a way of describing a person or group of people who are set in their ways. Parents can start out doctrinaire, but children soon force them to be flexible in how they bring them up.",https://www.vocabulary.com/dictionary/doctrinaire
dogmatic,pertaining to a code of beliefs accepted as authoritative,"To be dogmatic is to follow a set of rules no matter what. The rules might be religious, philosophical, or made-up, but dogmatic people would never waver in their beliefs so don’t even think of trying to change their minds.","Dogmatic goes back to the Greek words dogma, which means basically “what one thinks is true” and dogmatikos, “pertaining to doctrine.” To be dogmatic is to follow a doctrine relating to morals and faith, a set of beliefs that is passed down and never questioned. It also refers to arrogant opinions based on unproven theories or even despite facts. Someone dogmatic might insist that dinosaurs never existed or that women shouldn’t drive. Dogmatic people are usually not very popular.",https://www.vocabulary.com/dictionary/dogmatic
domestic,of or relating to the home,"Domestic generally means relating to someone's family, home, or home country. Domestic work is work done in the home — a domestic is someone who works in a home, such as a nanny or a maid.","Domestic is also used to refer to products that are produced in your country, or policies and affairs that relate to your country. And domestic animals, such as cats and dogs, are used to living with people. Domestic derives from Middle English, from Old French domestique, from Latin domesticus, from domus, ""house.""",https://www.vocabulary.com/dictionary/domestic
dormant,inactive but capable of becoming active,"That old dog was dormant for so long he was confused for a furry doormat, but a doormat is likely to stay dormant, or inactive, because it is lifeless: that old dog has some life in him yet.","Volcanoes are described as dormant when they stay cool for a long time, without spewing hot lava and ash. They may have the ability to come to life, but they remain dormant, or inactive. Dormant comes from French dormir, ""to sleep,"" and it refers to living things that are on a break rather than things that have died. Being dormant is being temporarily at rest, although sometimes, as with some cancer cells, things become permanently — and thankfully — dormant.",https://www.vocabulary.com/dictionary/dormant
dubious,fraught with uncertainty or doubt,"Choose the adjective dubious for something you have doubts about or you suspect is not true. That bridge you just ""bought"" might be of dubious value.","Dubious stems from Latin dubiosus, ""doubtful"" or ""uncertain,"" and contains the Latin root duo in this case meaning ""of two minds."" This is apparent in that dubious generally describes something that appears one way but is truly another. A dubious claim is probably not true, whereas a dubious website or character is of questionable quality. Dubious can also be synonymous with doubtful, as in ""she was dubious about the idea.""",https://www.vocabulary.com/dictionary/dubious
duplicity,the act of deceiving or acting in bad faith,"Though he said he didn't know anything about the footprints in the new sidewalk, his duplicity, or deceitfulness, was obvious from the cement caking his shoes. His mouth said one thing, his feet said another.","Many words with ""du"" have meanings with ""two"" or ""duo."" Duplicity is from a Latin word meaning ""twofold, having two parts."" Someone who shows duplicity is two-faced — maybe showing one side in public and another in private — or is just a liar, saying something known to be untrue or misleading. A fraud uses duplicity to gain something with false promises, and someone described as ""fake"" might use duplicity just to fit in or be accepted.",https://www.vocabulary.com/dictionary/duplicity
ebullient,joyously unrestrained,"More than chipper, more than happy, more than delighted is ebullient — meaning bubbling over with joy and delight.","There are two senses of the word of ebullient. One describes an immediate, and ultimately short-lived, reaction to a particular event — for example if you've just won the lottery, you are ebullient. The other describes someone who is perpetually upbeat and cheerful, for example, as in ""an ebullient personality."" Watch out for ebullient personalities: they can often be ""over the top"" as well.",https://www.vocabulary.com/dictionary/ebullient
eccentric,conspicuously or grossly unconventional or unusual,You're most likely to encounter the adjective eccentric in a description of an unusual or quirky person — like a scatterbrained aunt who leaves her life savings to her cat.,"From the Greek ekkentros, ""out of the center,"" this word originally had to do with the orbits of planets that were observed to be slightly out of whack. Eventually it came to describe people who were a little kooky, both as an adjective and as a noun, too: an eccentric is an unconventional, odd person. Think of them as following a slightly different orbit from the rest of society.",https://www.vocabulary.com/dictionary/eccentric
eclectic,someone who selects what seems best of various styles,"She listens to hip-hop, Gregorian chant, and folk music from the '60s. He's been seen wearing a handmade tuxedo jacket over a thrift-store flannel shirt. They both have eclectic tastes.","The English word eclectic first appeared in the seventeenth century to describe philosophers who did not belong to a particular school of thought, but instead assembled their doctrines by picking and choosing from a variety of philosophical systems. Today, the word can refer to any assemblage of varied parts. You can have an eclectic group of friends (friends from diverse groups), eclectic taste in furniture (a mixture of 18th-century French chairs, Andy Warhol paintings, and Persian rugs), or enjoy eclectic cuisine (fusion cooking that uses ingredients from different national cuisines).",https://www.vocabulary.com/dictionary/eclectic
edify,make understand,"To edify is to help someone understand, whether it is books that edify those who want to learn a new language, or the explanations that hang beside paintings at a museum that edify visitors who aren't familiar with the artist.","If you know that the noun edifice is a synonym for building, you may wonder what the related verb edify has to do with understanding. You can think of something that edifies as the building blocks of what might become a lifelong interest, like an elementary school teacher who edifies the student who becomes an Abraham Lincoln scholar, or an activity you eventually master, like the beginners' lessons that edify new ice skaters.",https://www.vocabulary.com/dictionary/edify
efface,remove by or as if by rubbing or erasing,"If something is erased or rubbed out, it has been effaced. Teachers get annoyed to find that someone has effaced the blackboard — even the part clearly marked, ""Do Not Erase!""","You can also efface things that are not physical — like effacing feelings, impressions, or memories. When you efface a memory, you wipe it out as well. Some people believe that their good deeds are able to efface their past wrongs. They'll have to rely on others' opinions to see how well that works.",https://www.vocabulary.com/dictionary/efface
effusion,an unrestrained expression of emotion,"An effusion is an explosion of something, usually words, ideas, or emotions. A popular singer might inspire an effusion of cheers from her devoted fans.","Mozart is known for the effusion of notes he could produce at a moment's notice — and all without erasing. A heated argument can produce an effusion of words from both sides. The volcano's eruption was an effusion of smoke and fire. The verb form of the word is effuse: After the high-school musical, your mother effused about your singing. Her comments were an effusion of praise. Your father, on the other hand, was less effusive — but he did like the dancing.",https://www.vocabulary.com/dictionary/effusion
egalitarian,favoring social equality,"An egalitarian is a person who believes in the equality of all people, and an egalitarian society gives everyone equal rights.","This is a word that means something close to equality and has to do with fairness. If you believe that everyone deserves a chance to vote, go to school, get good jobs, and participate in society, then you are an egalitarian. When laws make life fairer, the law is getting more egalitarian. The opposite of an egalitarian system could be a fascist society or dictatorship. Monarchies are not egalitarian. When you see this word, think about equality and freedom.",https://www.vocabulary.com/dictionary/egalitarian
egocentric,limited to or caring only about yourself and your own needs,"If you are egocentric, the whole world centers on you and you don't pay much attention to other people. Are you even listening to me?","Egocentric is a pretty recent word (from the early 20th century) and it quite literally means ""self-centered."" Does its recent invention mean that the human race is becoming more egocentric? If you're concerned about that possibility, maybe you're not as egocentric as I thought.",https://www.vocabulary.com/dictionary/egocentric
egregious,conspicuously and outrageously bad or reprehensible,"Something that is egregious stands out, but not in a good way — it means ""really bad or offensive."" If you make an egregious error during a championship soccer match, your coach might bench you for the rest of the game.","An egregious error is so bad that it might not be forgivable. Some synonyms are appalling and intolerable. The word has made a 180-degree turn from its original sense in Latin, when it meant ""exceptionally good."" Word historians have speculated that the negative usage was originally meant to be ironic, but it is the only sense that has survived. Be careful not to use it to mean ""outstanding,"" since no one wants to be called egregious.",https://www.vocabulary.com/dictionary/egregious
elicit,"call forth, as an emotion, feeling, or response","When you elicit, you're bringing out a response of some sort. A good comedian elicits a lot of laughs.","Elicit has to do with creating or provoking a response. A great speech will elicit cheers — a bad speech will elicit boos. Teachers try to elicit responses from students. If a friend smiles at you, it will probably elicit a smile of your own. In court, a lawyer might try to elicit mistakes and inconsistencies in the testimony of a witness. In all cases, whatever is elicited is some kind of response.",https://www.vocabulary.com/dictionary/elicit
emulate,"strive to equal or match, especially by imitating","When you emulate someone, you imitate them, especially with the idea of matching their success.","When someone is impressive because of their great skills, brains, strength, or accomplishments, others will emulate them. To emulate is to imitate and model yourself after someone. People emulate role models — people they want to be like. After Michael Jordan retired from the NBA, player after player tried to emulate Jordan's game and success. It's hard to be as good as someone like that, but having a hero to emulate can be helpful in many areas of life.",https://www.vocabulary.com/dictionary/emulate
elliptical,rounded like an egg,The word elliptical is derived from the oval shape known as an ellipse. Many comets have an elliptical orbit around the Sun that brings them closer at some times and farther away at others.,"The adjective elliptical refers to the shape of an ellipse, which is an elongated circle, stretched into an oval. This word can also be used to describe a way of speaking that cuts out extra, unnecessary language. When writers use an elliptical style, it sometimes makes the work obscure and hard to interpret.",https://www.vocabulary.com/dictionary/elliptical
emigrate,leave one's country of residence for a new one,"If you move to a different country, you emigrate. For example, if you emigrate from Canada and go to Italy, you aren't on vacation — you are making Italy your new home. Benvenuti!","The verb emigrate comes from the Latin word emigrare, which means “move away,” or “depart from a place.” The words emigrate and immigrate both mean that a person has decided to permanently live in a foreign country, but to emigrate is to leave your country, and to immigrate is to come into a new country. To emigrate is to exit.",https://www.vocabulary.com/dictionary/emigrate
eminent,standing above others in quality or position,"Anyone highly regarded or prominent is eminent. Eminent people are very successful at their jobs. If you’ve heard of Neil deGrasse Tyson, it’s probably because he’s an eminent astrophysicist.","Every field has eminent — impressive, famous, or accomplished — people. Two of the most eminent coaches in the history of professional basketball are Red Auerbach and Phil Jackson because they've won the most championships. Beethoven was an eminent musician. Frank Lloyd Wright was an eminent architect. Eminent people loom over a field because they're influential and you can't avoid hearing about them. It's not easy to be eminent because you have to be extremely successful.",https://www.vocabulary.com/dictionary/eminent
empirical,derived from experiment and observation rather than theory,"If knowledge is empirical, it's based on observation rather than theory. To do an empirical study of donut shops, you'll need to visit every one you can find.","Empirical looks like empire but comes from a completely different origin: it is from the Greek empeirikos, meaning ""experienced."" It was originally used in medicine for doctors making choices based on observation and experiment rather than theoretical ideas. It's now used for any kind of knowledge that comes from experience. You can meditate all day on the origins of donuts, but until you visit the donut bakery you'll lack empirical knowledge of donut creation.",https://www.vocabulary.com/dictionary/empirical
encroach,advance beyond the usual limit,"To encroach is to overstep your bounds, to take over space or rights that belong to another, like your brother whose mess always encroaches on your side of the room you share.","The verb encroach comes from the Old French word encrochier, meaning “seize, fasten on, catch with a hook.” If others slowly take over what belongs to you, they encroach, like people who encroach on your personal space at a crowded concert, or someone whose questions get more and more personal, which encroaches on your privacy.",https://www.vocabulary.com/dictionary/encroach
endemic,native to or confined to a certain region,"If you want to underscore just how commonly found and present something is within a particular place, try the word endemic. The saguaro cactus is endemic, or native, to the American southwest — so watch out for its sharp spines when you're hiking in Arizona!","Although endemic meaning ""prevalent"" often describes a plant or disease, it can also refer to something less tangible and more unwanted such as violence or poverty. Many complain of endemic corruption in the local government. Despite its -ic ending, endemic can also be used as a noun to signify a plant or animal that is prevalent in a certain region. If an endemic is brought to another area which it takes over, destroying the local population, it's classified as an invasive species.",https://www.vocabulary.com/dictionary/endemic
enervate,weaken mentally or morally,"To enervate is to weaken, wear down, or even bum out. A three-hour lecture on the history of socks might thrill someone, it would enervate most people. So would a too-long soak in a hot tub. With your parents.","Trace enervate back far enough and you'll discover that it comes from the Latin enervare which means basically “to cut the sinew” or “to cause to be cut from the muscle.” That would certainly weaken someone. These days, there’s no need for violence. To enervate someone is to sap their energy, like by reading your ex all the love letters your new sweetheart wrote you. When something enervates you, it does more than get on your nerves; it brings you down.",https://www.vocabulary.com/dictionary/enervate
enfranchise,"grant freedom to, as from slavery or servitude",The verb enfranchise is used when a group of people are given voting rights or freedoms they didn't have before. Many people under the age of 18 would like lawmakers to enfranchise their peer group so they can vote.,"Enfranchise traces back to the Old French word enfranchiss, a combination of en-, meaning ""make, put in,"" and enfranchir, meaning ""to set or make free."" In the 1680s, enfranchise came to mean ""to admit to membership in a state,"" something that usually came with the right to vote. You may know the word disenfranchised, an adjective that describes people who lack rights or liberties. To enfranchise is to give or restore rights to the disenfranchised.",https://www.vocabulary.com/dictionary/enfranchise
engender,call forth,"Engender is a fancy way of saying ""to make happen,"" like when you engender the spirit of teamwork and cooperation by encouraging others and doing your share of the group's work.","The verb engender has nothing to do with being male or female, though originally, it did mean ""beget, procreate."" Today, engender means ""to produce or bring about."" When students come to class prepared, meaning they've read their assignment, this engenders better class discussions, just as mutual trust and the desire to help each other engenders a meaningful friendship.",https://www.vocabulary.com/dictionary/engender
enigma,something that baffles understanding and cannot be explained,Use the noun enigma to refer to something that is a puzzle or a mystery. Why do you have to learn difficult words like this? That is an enigma.,"Traveling to English from Greek by means of the Latin word for ""riddle,"" enigma refers to something or someone that is mysterious, puzzling, or difficult to figure out. Many things have been named Enigma, including a rock band, a video game, a rollercoaster ride, and a very famous coding machine used in World War II.",https://www.vocabulary.com/dictionary/enigma
enormity,the quality of extreme wickedness,"An enormity is something extreme or huge, almost beyond comprehension. If you call having to paint the house all by yourself an enormity, your friends might take pity on you and show up with brushes and rollers.","Something that's enormous can be good — a huge paycheck! — or bad, such as a tumor. But when it comes to enormity, some word lovers are up in arms. The word originally meant ""a crime,"" so some people think it should only be used to describe wickedness or lack of morals. Others can't resist the word's similarity to enormous and apply it to anything vast, positive or negative.",https://www.vocabulary.com/dictionary/enormity
